character	gender
MOWBRAY	Male
ROSS	Male
CRANMER	Male
CHARLES	Male
HERO	Female
CASCA	Male
EXETER	Male
PERDITA	Female
SEBASTIAN	Male
PIRITHOUS	Male
CONSTABLE	Male
BORACHIO	Male
QUINCE	Male
HELICANUS	Male
ARTHUR	Male
RODERIGO	Male
DUCHESS	Female
SECOND LORD	Male
GAOLER	Male
CORDELIA	Female
SALERIO	Male
DAUPHIN	Male
KATHERINE	Female
QUEEN ISABEL	Female
LADY CAPULET	Female
BANQUO	Male
FABIAN	Male
ANTIGONUS	Male
CLEON	Male
CERIMON	Male
HOST	Male
DON JOHN	Male
WESTMORLAND	Male
CHARMIAN	Female
CORNWALL	Male
ALONSO	Male
DERBY	Male
PRINCE JOHN	Male
FIRST GENTLEMAN	Male
SCHOOLMASTER	Male
LYSIMACHUS	Male
BIONDELLO	Male
WOOER	Male
GEORGE	Male
DIOMEDES	Male
BAWD	Female
POET	Male
MOROCCO	Male
CARDINAL	Male
HIPPOLYTA	Female
TRINCULO	Male
ROSENCRANTZ	Male
PARIS	Male
AUDLEY	Male
CAIUS	Male
FENTON	Male
WINCHESTER	Male
LUCIANA	Female
FIRST PLAYER	Male
GHOST	Male
FIRST CLOWN	Male
FRENCH KING	Male
GARDINER	Male
FIRST CITIZEN	Male
DUMAINE	Male
FIRST SENATOR	Male
DIONYZA	Female
NERISSA	Female
DOCTOR	Male
MORTIMER	Male
SECOND GENTLEMAN	Male
LORD BARDOLPH	Male
JESSICA	Female
AJAX	Male
PHEBE	Female
AUMERLE	Male
FIRST SOLDIER	Male
GENTLEMAN	Male
BOULT	Male
SURREY	Male
THAISA	Female
MORTON	Male
POINS	Male
DOLL	Female
OSWALD	Male
PEMBROKE	Male
LODOVICO	Male
GLENDOWER	Male
LUCY	Male
BEDFORD	Male
SILVIUS	Male
ABBESS	Female
CORNELIUS	Male
LADY GREY	Female
LONGAVILLE	Male
LUCETTA	Female
ELBOW	Male
CORIN	Male
WILLIAMS	Male
SOLANIO	Male
LENNOX	Male
PATROCLUS	Male
BIANCA	Female
BOY	Male
DUKE FREDERICK	Male
ANTIOCHUS	Male
MARIANA	Female
OLD LADY	Female
LOVELL	Male
MARGARET	Female
BURGUNDY	Male
LEPIDUS	Male
LEWIS	Male
MARINER	Male
ARRAGON	Male
VERNON	Male
PAINTER	Male
FIRST MURDERER	Male
ADAM	Male
LIEUTENANT	Male
SOMERSET	Male
WIDOW	Female
FIRST QUEEN	Female
BISHOP OF CARLISLE	Male
BASSIANUS	Male
THIRD GENTLEMAN	Male
MONTANO	Male
MENAS	Male
SLY	Male
FIRST WITCH	Female
SURVEYOR	Male
SECOND MURDERER	Male
MARCELLUS	Male
SECOND SENATOR	Male
LARTIUS	Male
AGRIPPA	Male
LAVINIA	Female
REIGNIER	Male
GRIFFITH	Male
LUCULLUS	Male
CATESBY	Male
DUCHESS OF GLOUCESTER	Female
LADY PERCY	Female
ARTOIS	Male
FLUTE	Male
QUEEN ELEANOR	Female
THURIO	Male
NATHANIEL	Male
CAMPEIUS	Male
CHIRON	Male
THIRD CITIZEN	Male
GUILDENSTERN	Male
THIRD SERVINGMAN	Male
GARDENER	Male
SPEAKER	Male
MONTJOY	Male
PEDANT	Male
IDEN	Male
SIMPLE	Male
CROMWELL	Male
ALEN├çON	Male
MESSENGER	Male
OSRICK	Male
LE BEAU	Male
RIVERS	Male
SAY	Male
VINCENTIO	Male
SANDS	Male
ENGLISH DOCTOR	Male
JOHN	Male
OCTAVIUS	Male
URSULA	Female
BARDOLPH	Male
EROS	Male
DOLABELLA	Male
LODOWICK	Male
KATHARINE	Female
YOUNG CLIFFORD	Male
PERCY	Male
BOATSWAIN	Male
GADSHILL	Male
DOUGLAS	Male
THIRD MESSENGER	Male
SILENCE	Male
FIRST GAOLER	Male
ORLEANS	Male
NYM	Male
YOUNG LUCIUS	Male
MISTRESS QUICKLY as Queen of Fairies	Female
DECIUS	Male
PANTHINO	Male
SOOTHSAYER	Male
PHILARIO	Male
PRINCE EDWARD	Male
AMIENS	Male
MESSENGER TO CLEOPATRA	Male
STEWARD	Male
WIFE	Female
BLANCHE	Female
BALTHASAR	Male
CHATILLON	Male
BLUNT	Male
EGEUS	Male
IRIS	Female
MONTAGUE	Male
FIRST FISHERMAN	Male
VALERIA	Female
SCARUS	Male
SICILIUS	Male
RUMOUR	Male
MELUN	Male
BUSHY	Male
HECAT	Female
LORRAINE	Male
SECOND QUEEN	Female
GOBBO	Male
MESSALA	Male
MAN	Male
SCROOP	Male
CASSANDRA	Female
THIRD QUEEN	Female
TYRREL	Male
SECOND SERVINGMAN	Male
VIRGILIA	Female
TYBALT	Male
SEMPRONIUS	Male
MISTRESS OVERDONE	Female
FRIAR PETER	Male
OCTAVIA	Female
MAECENAS	Male
CAPTAIN	Male
FIRST SERVINGMAN	Male
AUSTRIA	Male
CONRADE	Male
DICK	Male
COURTESAN	Female
OXFORD	Male
SENATOR	Male
SAMPSON	Male
SHEPHERD'S SERVANT	Male
BARNARDO	Male
ALEXANDER	Male
SECOND MERCHANT	Male
PORTER	Male
DAVY	Male
KING DAVID	Male
PETER	Male
RATCLIFFE	Male
TIME	Male
BRAKENBURY	Male
LUCIUS'S SERVANT	Male
ALEXAS	Male
FRANCE	Male
PROCULEIUS	Male
PHILIP	Male
EPILOGUE	Male
LORD CHANCELLOR	Male
MARULLUS	Male
TITINIUS	Male
GREEN	Male
FIRST WATCH	Male
HUME	Male
THIRD FRENCHMAN	Male
VILLIERS	Male
THIDIAS	Male
SECOND COUNTRYMAN	Male
CALCHAS	Male
PROLOGUE	Male
FIRST STRANGER	Male
SECOND PLAYER	Male
SECOND FISHERMAN	Male
HYMEN	Male
SECOND CITIZEN	Male
DULL	Male
VENTIDIUS	Male
SEYWARD	Male
LUCILIUS	Male
SOLDIER	Male
POST	Male
FLAMINIUS	Male
OLD ATHENIAN	Male
PANDAR	Male
CURTIS	Male
FAIRY	Male
HELEN	Female
ALICE	Female
VERGES	Male
EGLAMOUR	Male
THIRD WITCH	Female
FITZWATER	Male
GENERAL	Male
ELY	Male
FIRST FRIEND	Male
CALPHURNIA	Female
FORTINBRAS	Male
DION	Male
ROMAN	Male
SERVANT	Male
FATHER	Male
THALIARD	Male
IRAS	Female
SECOND WITCH	Female
LORD MARSHAL	Male
THIRD OUTLAW	Male
BASSET	Male
SECOND PLEBEIAN	Male
QUINTUS	Male
CANIDIUS	Male
SIMPCOX	Male
THIRD COUNTRYMAN	Male
OFFICER	Male
PAGES	Male
CERES	Female
LEONINE	Male
RUTLAND	Male
PHILOSTRATE	Male
GENTLEWOMAN	Female
BAGOT	Male
FIRST CARRIER	Male
THIRD PLEBEIAN	Male
CLEOMENES	Male
GREGORY	Male
MAMILLIUS	Male
ROBERT FAULCONBRIDGE	Male
FOURTH PLEBEIAN	Male
FRENCHMAN	Male
SON	Male
SECOND FRIEND	Male
SNOUT	Male
JUPITER	Male
ABHORSON	Male
DECRETAS	Male
EXTON	Male
ANGUS	Male
FIRST OUTLAW	Male
FIRST PLEBEIAN	Male
MAYOR	Male
FIRST WATCHMAN	Male
VOLTEMAND	Male
MOPSA	Female
ARCHIDAMUS	Male
AUDREY	Female
SECOND OFFICER	Male
VOLSCE	Male
CAPHIS	Male
SECOND WATCHMAN	Male
SERVANT OF ANTONY	Male
SECOND GOTH	Male
PRIAM	Male
MARDIAN	Male
MACMORRIS	Male
CHAMBERLAIN	Male
ALL WITCHES	Female
ARTEMIDORUS	Male
HORNER	Male
SECOND MESSENGER	Male
THIRD FISHERMAN	Male
SECOND CLOWN	Male
SERVILIUS	Male
HOLLAND	Male
AEMILIUS	Male
CINNA	Male
FIRST MESSENGER	Male
MASTER GUNNER	Male
ABERGAVENNY	Male
SECOND CARRIER	Male
FOURTH COUNTRYMAN	Male
MESSENGER TO CAESAR	Male
FRENCH SOLDIER	Male
GRANDPR├ë	Male
BATES	Male
WHITMORE	Male
HIEMS	Male
JAQUENETTA	Female
VER	Male
COPLAND	Male
AMBASSADOR	Male
PHILO	Male
METELLUS	Male
PINDARUS	Male
BEVIS	Male
FIRST KEEPER	Male
JAQUES DE BOYS	Male
PLEBEIANS	Male
KNIGHT	Male
LIGARIUS	Male
COBBLER	Male
FRANCIS	Male
SECOND OUTLAW	Male
BARNARDINE	Male
STAFFORD	Male
SMITH	Male
TAILOR	Male
TUBAL	Male
ANDROMACHE	Female
CAMBRIDGE	Male
FIRST MERCHANT	Male
FIRST COUNTRYMAN	Male
PETO	Male
TRAVERS	Male
SEXTON	Male
AEDILE	Male
LADY FAULCONBRIDGE	Female
REYNALDO	Male
DORSET	Male
LORD MAYOR	Male
SCRIVENER	Male
LAURENCE	Male
ALL CITIZENS	Male
FIRST VOLSCIAN SENATOR	Male
FIRST OFFICER	Male
BRANDON	Male
CINNA THE POET	Male
SENTRY	Male
FIRST GUARD OF CAESAR'S	Male
PUBLIUS	Male
MONTGOMERY	Male
SECOND KEEPER	Male
WOMAN	Female
SNUG	Male
CLERK	Male
MENELAUS	Male
FIRST FRENCHMAN	Male
QUEEN'S LADY	Female
SECOND SOLDIER	Male
ENGLISH HERALD	Male
ROBIN	Male
ALL	Male
BULLCALF	Male
PRIEST	Male
DORCAS	Female
GREY	Male
ADRIAN	Male
FIRST MUSICIAN	Male
SECOND WATCH	Male
THIRD CONSPIRATOR	Male
JEWELLER	Male
OLD MAN	Male
MOULDY	Male
WILLIAM	Male
FRENCH HERALD	Male
MENTETH	Male
GROOM	Male
WILLOUGHBY	Male
MOTHER	Female
PINCH	Male
FIRST BROTHER	Male
VALERIUS	Male
STARVELING	Male
VAUX	Male
JAMY	Male
FROTH	Male
ROMAN CAPTAIN	Male
SILIUS	Male
BROTHER	Male
CAPUCHIUS	Male
CATHNESS	Male
LIEUTENANT TO AUFIDIUS	Male
HERALD	Male
RUGBY	Male
EVANS as a Satyr	Male
DRAWER	Male
FEEBLE	Male
HORTENSIUS	Male
MERCHANT	Male
FIRST BANDIT	Male
SECOND SERVANT	Male
VARRO'S SERVANT	Male
LORDS	Male
FRANCISCO	Male
LYCHORIDA	Female
FOURTH MESSENGER	Male
GHOST OF BUCKINGHAM	Male
THIRD SERVANT	Male
FIRST BEADLE	Male
ABBOT OF WESTMINSTER	Male
GUILFORD	Male
CLITUS	Male
THIRD FRENCH HERALD	Male
FIRST SERVANT	Male
FIRST HUNTSMAN	Male
CURAN	Male
SPIRIT	Male
THIRD WATCHMAN	Male
MOUNTFORD	Male
FIRST POOR FRENCHMAN	Male
SINGER	Male
FRANCISCA	Female
BRITAINE	Male
BOURBON	Male
RAMBURES	Male
COSTARD as Pompey	Male
SOLDIER OF CAESAR'S	Male
CICERO	Male
BUTTS	Male
FIRST MAN	Male
MESSENGER TO WIFE	Male
COLEVILE	Male
BONA	Female
FIRST LADY	Female
SECOND LORD TO FREDERICK	Male
FIRST SAILOR	Male
CARDINAL BOURCHIER	Male
GHOST OF HENRY VI	Male
KEEPER	Male
GHOST OF ANNE	Female
GHOSTS	Male
URSWICK	Male
ALL TOGETHER	Male
ALL THE SERVANTS	Male
FIRST VARRO'S SERVANT	Male
ISIDORE'S SERVANT	Male
FIRST CONSPIRATOR	Male
BIGOT	Male
FANG	Male
SHERIFF	Male
SIR MICHAEL	Male
HARCOURT	Male
FIRST PETITIONER	Male
FIRST GOTH	Male
THIRD MURDERER	Male
DONALBAIN	Male
BERKELEY	Male
LANCASTER	Male
LINCOLN	Male
CATO	Male
TREBONIUS	Male
SCALES	Male
LUCE	Female
FIRST FAIRY	Male
HOLOFERNES as presenter	Male
STANLEY	Male
FIRST WEALTHY CITIZEN	Male
ERPINGHAM	Male
GOVERNOR	Male
FIRST KNIGHT	Male
STRATO	Male
SECOND HERALD	Male
YOUNG SEYWARD	Male
FOURTH CITIZEN	Male
PISTOL as Hobgoblin	Male
THIRD BANDIT	Male
POET and PAINTER	Male
SECOND STRANGER	Male
JUNO	Female
SECOND CONSPIRATOR	Male
SECOND VOLSCIAN SENATOR	Male
APOTHECARY	Male
CURIO	Male
GHOST OF CLARENCE	Male
GHOST OF PRINCE EDWARD	Male
BISHOP OF ELY	Male
SAILOR OF TYRE	Male
SECOND SAILOR	Male
SECOND MUSICIAN	Male
SERVINGMAN	Male
FIRST PAGE	Male
SECOND VARRO'S SERVANT	Male
SECOND BANDIT	Male
THIRD PLAYER	Male
PHILOTUS	Male
CUPID	Male
FRENCH MESSENGER	Male
ANOTHER LORD	Male
FIRST HERALD	Male
PATIENCE	Female
MENECRATES	Male
EGYPTIAN	Male
SECOND FRENCH HERALD	Male
FRIAR THOMAS	Male
SECOND BROTHER	Male
SECOND CAPTAIN	Male
SECOND PETITIONER	Male
MUSTARDSEED	Male
SOMERVILLE	Male
FRENCH CAPTAIN	Male
FORESTER	Male
SECOND KNIGHT	Male
SECOND WEALTHY CITIZEN	Male
FIRST GUARD	Male
SELEUCUS	Male
SCOUT	Male
WOODVILLE	Male
FIRST TRAVELLER	Male
SEYTON	Male
THIRD APPARITION	Male
SERGEANT	Male
SHADOW	Male
LADY NORTHUMBERLAND	Female
A GOTH	Male
BOTH TRIBUNES	Male
SAILOR	Male
SIR OLIVER	Male
CITIZENS	Male
ABRAM	Male
FIRST LORD OF PENTAPOLIS	Male
FIRST GENTLEMAN OF MYTILENE	Male
GIRL	Female
GHOST OF HASTINGS	Male
SECOND LADY	Female
SECOND GENTLEMAN OF MYTILENE	Male
FIRST LORD TO FREDERICK	Male
PHRYNIA and TIMANDRA	Female
THIRD LORD	Male
THIRD SENATOR	Male
TIMANDRA	Female
CITIZEN	Male
BOTH SERVINGMEN	Male
FIRST VOLSCIAN SOLDIER	Male
MICHAEL	Male
JOURDAIN	Female
MUTIUS	Male
VINTNER	Male
WILL	Male
SECOND APPARITION	Male
MURDERER	Male
SENTINEL	Male
LAWYER	Male
SCRIBE	Male
DENNY	Male
VARRO	Male
FIRST SOLDIER FOR ANTONY	Male
GUARDSMAN	Male
THIRD SOLDIER	Male
VARRIUS	Male
ARMADO as Hector	Male
POLONIAN CAPTAIN	Male
FIRST CAPTAIN	Male
BOTH	Male
MARCADE	Male
NATHANIEL as Alexander	Male
PEASEBLOSSOM	Male
COBWEB	Male
HELENUS	Female
SECOND HUNTSMAN	Male
MARGARELON	Male
TUTOR	Male
BOHEMIA	Male
ATTENDANT	Male
FIRST TRIBUNE	Male
JUSTICE	Male
ALL QUEENS	Female
ALL THE GUARDS	Male
TRIBUNES	Male
DARDANIUS	Male
VOLUMNIUS	Male
FIRST WARDER	Male
CRIER	Male
GARTER	Male
MURDERERS	Male
ALL LORDS	Male
SNARE	Male
A ROMAN	Male
FIRST NEIGHBOUR	Male
ESSEX	Male
ALL THE PEOPLE	Male
ALL THE BANDITS	Male
DENNIS	Male
SECOND PAGE	Male
MASTER	Male
SEVENTH CITIZEN	Male
COUSIN CAPULET	Male
FOURTH SERVINGMAN	Male
LADY MONTAGUE	Female
SAILOR OF MYTILENE	Male
LORD OF MYTILENE	Male
FOURTH PLAYER	Male
KNIGHTS	Male
CHILDREN	Male
LOVEL	Male
PURSUIVANT	Male
GHOST OF RIVERS	Male
GHOST OF VAUGHAN	Male
ALL GHOSTS	Male
FIRST PIRATE	Male
ESCANES	Male
THIRD PIRATE	Male
SECOND LORD OF PENTAPOLIS	Male
SIXTH CITIZEN	Male
ROSENCRANTZ and GUILDENSTERN	Male
HORATIO and MARCELLUS	Male
HIS FOLLOWERS	Male
FOURTH GENTLEMAN	Male
"PAGE, SHALLOW, and SLENDER"	Male
ALL SENATORS	Male
ALL SOLDIERS	Male
ALL CONSPIRATORS	Male
EXECUTIONER	Male
FIFTH CITIZEN	Male
PATRICIAN	Male
COMMONS	Male
FIRST PRENTICE	Male
BEADLE	Male
THIRD GROOM	Male
WART	Male
FIRST APPARITION	Male
FLEANCE	Male
SECRETARY	Male
SERVINGMEN	Male
WATCH	Male
GARGRAVE	Male
VARRO and CLAUDIUS	Male
CLAUDIUS	Male
POPILIUS	Male
SECOND GUARD	Male
SECOND GUARD OF CAESAR'S	Male
GALLUS	Male
ROMANS	Male
COURT	Male
BROTHERS	Male
PALAMON and ARCITE	Male
GOBIN	Male
SECOND NEIGHBOUR	Male
HUNTSMAN	Male
NOBLEMAN	Male
THIRD NEIGHBOUR	Male
SECOND PRENTICE	Male
DEIPHOBUS	Male
SOLDIERS	Male
SECOND FAIRY	Male
MOTH	Male
LEONARDO	Male
BOTH LORDS	Male
ALL THE LORDS	Male
NICHOLAS	Male
JOSEPH	Male
FIRST SERVINGMAN OF PETRUCHIO	Male
GREMIO and TRANIO	Male
GRUMIO and BIONDELLO	Male
HABERDASHER	Male
PLAYERS	Male
CARPENTER	Male
ALL FAIRIES	Male
ALL MECHANICALS	Male
FOURTH LORD	Male
WIDOW and MARIANA	Female
MYRMIDONS	Male
WARWICK and SALISBURY	Male
ALBANY and CORNWALL	Male
SIR JOHN	Male
NELL	Female
THIRD KNIGHT	Male
TABORER	Male
ALL ATTENDANTS	Male
ALL CAESAR'S ATTENDANTS	Male
ALL FRENCHMEN	Male
HOLOFERNES as Judas	Male
FIRST ESQUIRE	Male
CLOTEN and LORDS	Male
A LORD	Male
LADIES	Female
GUIDERIUS and ARVIRAGUS	Male
SECOND GAOLER	Male
GREY and SCROOP	Male
ANGELO and ESCALUS	Male
ALL SERVANTS	Male
ALL SERVINGMEN	Male
THIRD GUARD	Male
TAURUS	Male
FOURTH SOLDIER	Male
MAECENAS and AGRIPPA	Male
SECOND ATTENDANT	Male
ALL THE SOLDIERS	Male
ALL THE TRIUMVIRS	Male
FIRST ATTENDANT	Male
ALL THE OTHERS	Male
ALL THREE KNIGHTS	Male
BAVIAN	Male
SECOND ESQUIRE	Male
TITINIUS and MESSALA	Male
GLANSDALE	Male
FIRST SENTINEL	Male
SECOND WARDER	Male
LEGATE	Male
SECOND and THIRD GENTLEMEN	Male
MACBETH and LENNOX	Male
OUTLAWS	Male
SECOND TRAVELLER	Male
OSTLER	Male
SECOND MAN	Male
SECOND GROOM	Male
PRINCES	Male
THIEVES	Male
GLOUCESTER and CLARENCE	Male
FIRST GROOM	Male
MARTIUS and QUINTUS	Male
ALL PETITIONERS	Male
ALL THE GOTHS	Male
CONRADE and BORACHIO	Male
MATE	Male
PATRICIANS	Male
NOBLE	Male
FIRST ROMAN	Male
BOTH CITIZENS	Male
GURNEY	Male
ALL ROMAN SOLDIERS	Male
AEDILES	Male
PEMBROKE and BIGOT	Male
JOHN and ROBERT	Male
MISTRESS FORD and MISTRESS PAGE	Female
ROBERT	Male
GENTLEMEN	Male
SENATORS	Male
MARCELLUS and BARNARDO	Male
ALL THE LADIES	Female
VOICES	Male
VOLTEMAND and CORNELIUS	Male
PHRYNIA	Female
OTHERS	Male
LUCULLUS and LUCIUS	Male
BOTH SENATORS	Male
BOTH VARRO'S SERVANTS	Male
FOURTH SENATOR	Male
THIRD STRANGER	Male
SOME	Male
SERVANTS	Male
MARINERS	Male
FERDINAND and MIRANDA	Male
CLEOMENES and DION	Male
SECOND ROMAN	Male
THIRD ROMAN	Male
VIRGILIA and VALERIA	Female
A FOLLOWER	Male
FIDDLER	Male
FRIAR JOHN	Male
THIRD MUSICIAN	Male
WATCHMAN	Male
SECOND PIRATE	Male
MARSHAL	Male
PERICLES and THAISA	Male
PHILEMON	Male
THIRD LORD OF PENTAPOLIS	Male
VAUGHAN	Male
FIRST GENTLEMAN OF TYRE	Male
FIRST and SECOND MURDERER	Male
GHOST OF GREY	Male
HERBERT	Male
QUEEN ELIZABETH and DUCHESS OF YORK	Female
